"NOMBRES M�S POPULARES DE MUJER, 2020",,,,,,"NOMBRES M�S POPULARES DE HOMBRE, 2020",,,
LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS,,,LUGAR,NOMBRE,SEXO,PERSONAS REGISTRADAS
165,MARIA DE JESUS,MUJER,355,,,165,VALENTIN,HOMBRE,566
166,ISABELA,MUJER,354,,,166,JESUS MANUEL,HOMBRE,565
167,MARIA ELENA,MUJER,352,,,167,JESUS EMMANUEL,HOMBRE,560
168,LIA VALENTINA,MUJER,351,,,168,PATRICIO,HOMBRE,545
169,MIRIAM,MUJER,349,,,169,ROGELIO,HOMBRE,541
170,ROSA MARIA,MUJER,348,,,170,ANDRE,HOMBRE,540
171,ASHLEY,MUJER,347,,,171,JESUS SANTIAGO,HOMBRE,537
172,ALEXIA,MUJER,346,,,172,ZAID,HOMBRE,532
173,ESTEFANY,MUJER,345,,,173,JESUS MATEO,HOMBRE,530
174,MONICA,MUJER,345,,,174,JOSE ALFREDO,HOMBRE,530
175,GERALDINE,MUJER,341,,,175,DANIEL ALEJANDRO,HOMBRE,528
176,ANAHI,MUJER,340,,,176,ANGEL EDUARDO,HOMBRE,523
177,GRETTEL,MUJER,339,,,177,JESUS ALBERTO,HOMBRE,522
178,MARIEL,MUJER,339,,,178,JOSE ALBERTO,HOMBRE,520
179,AMAYA,MUJER,338,,,179,JOSE EMILIANO,HOMBRE,516
180,NOEMI,MUJER,338,,,180,ANGEL JESUS,HOMBRE,515
181,SARAI,MUJER,338,,,181,VICTOR,HOMBRE,513
182,AITANA SOFIA,MUJER,337,,,182,MARCOS,HOMBRE,509
183,MARIA REGINA,MUJER,337,,,183,ERNESTO,HOMBRE,507
184,YAZMIN,MUJER,337,,,184,MARCELO,HOMBRE,506
185,LIZETH,MUJER,336,,,185,JESUS GAEL,HOMBRE,504
186,OLIVIA,MUJER,330,,,186,JOAQUIN,HOMBRE,494
187,TERESA,MUJER,329,,,187,MARIANO,HOMBRE,494
188,VALERIA GUADALUPE,MUJER,327,,,188,ALEX,HOMBRE,493
189,ROMINA GUADALUPE,MUJER,325,,,189,RUBEN,HOMBRE,492
190,YULIANA,MUJER,325,,,190,SAID,HOMBRE,482
191,KARINA,MUJER,324,,,191,LIAM ALEXANDER,HOMBRE,479
192,MELISA,MUJER,324,,,192,IAN TADEO,HOMBRE,478
193,JESSICA,MUJER,322,,,193,JOSE ALEJANDRO,HOMBRE,478
194,DANAE,MUJER,319,,,194,MISAEL,HOMBRE,478
195,SOFIA VICTORIA,MUJER,319,,,195,DARIO,HOMBRE,475
196,YATZIRI,MUJER,315,,,196,DYLAN ALEXANDER,HOMBRE,475
197,ARACELI,MUJER,312,,,197,LIAM SANTIAGO,HOMBRE,474
198,DANIA,MUJER,307,,,198,LIAM MATEO,HOMBRE,472
199,ANA KAREN,MUJER,305,,,199,JOSE DAVID,HOMBRE,471
200,MARIA SOFIA,MUJER,305,,,200,LIAM GAEL,HOMBRE,469
201,AMELIA,MUJER,304,,,201,LUIS EDUARDO,HOMBRE,468
202,ARELY,MUJER,303,,,202,HUGO,HOMBRE,465
203,GIANNA,MUJER,303,,,203,IAN DANIEL,HOMBRE,463
204,SANDRA,MUJER,303,,,204,CRISTOFER,HOMBRE,457
205,DARIANA,MUJER,302,,,205,JESUS EMILIANO,HOMBRE,457
206,MIA NICOLE,MUJER,297,,,206,LUIS DAVID,HOMBRE,448
207,ALESSANDRA,MUJER,296,,,207,YAEL,HOMBRE,445
208,MILAGROS GUADALUPE,MUJER,295,,,208,IKER ALEXANDER,HOMBRE,444
209,CRISTINA,MUJER,294,,,209,JOSE MATEO,HOMBRE,442
210,KEYLA,MUJER,294,,,210,JOSE ARMANDO,HOMBRE,437
211,SOPHIA,MUJER,293,,,211,AGUSTIN,HOMBRE,434
212,KAREN,MUJER,291,,,212,AXEL GAEL,HOMBRE,434
213,RENATA GUADALUPE,MUJER,290,,,213,EITHAN,HOMBRE,434
214,AITANA VALENTINA,MUJER,288,,,214,ALVARO,HOMBRE,430
215,AMANDA,MUJER,288,,,215,FRANCO,HOMBRE,427
216,ANDREA GUADALUPE,MUJER,288,,,216,JOSE FRANCISCO,HOMBRE,423
217,EMMA VICTORIA,MUJER,288,,,217,JOSE SANTIAGO,HOMBRE,423
218,MARIBEL,MUJER,287,,,218,DYLAN JESUS,HOMBRE,421
219,DANIELA GUADALUPE,MUJER,285,,,219,JOSE TADEO,HOMBRE,421
220,SOFIA ISABELLA,MUJER,285,,,220,IAN JESUS,HOMBRE,418
221,HANNA SOFIA,MUJER,281,,,221,JACOB,HOMBRE,415
222,LIA FERNANDA,MUJER,280,,,222,MAXIMO,HOMBRE,415
223,MELANI,MUJER,280,,,223,ALFONSO,HOMBRE,413
224,RAQUEL,MUJER,280,,,224,JARED,HOMBRE,413
225,MARIA VALENTINA,MUJER,277,,,225,LUIS MATEO,HOMBRE,412
226,VERONICA,MUJER,277,,,226,IAN ALEJANDRO,HOMBRE,404
227,EMILY GUADALUPE,MUJER,276,,,227,MATIAS ALEJANDRO,HOMBRE,399
228,CAMILA SOFIA,MUJER,273,,,228,CARLOS ALBERTO,HOMBRE,397
229,FABIOLA,MUJER,273,,,229,ADAN,HOMBRE,396
230,SOFIA ELIZABETH,MUJER,271,,,230,GONZALO,HOMBRE,396
231,KIMBERLY GUADALUPE,MUJER,269,,,231,JUAN DANIEL,HOMBRE,395
232,MIA FERNANDA,MUJER,269,,,232,ANGEL MATIAS,HOMBRE,391
233,ZOE VALENTINA,MUJER,269,,,233,ANTHONY,HOMBRE,390
234,ROXANA,MUJER,266,,,234,JOSE GAEL,HOMBRE,390
235,ESPERANZA,MUJER,265,,,235,ANGEL URIEL,HOMBRE,388
236,PAULA SOFIA,MUJER,265,,,236,NOE,HOMBRE,386
237,BELEN,MUJER,262,,,237,CARLOS EDUARDO,HOMBRE,383
238,SOFIA ALEJANDRA,MUJER,262,,,238,DIEGO ALEJANDRO,HOMBRE,380
239,ANA VALERIA,MUJER,261,,,239,JESUS DAVID,HOMBRE,378
240,ERIKA,MUJER,261,,,240,LUCAS,HOMBRE,377
241,ARANTZA,MUJER,260,,,241,GILBERTO,HOMBRE,376
242,DANNA VICTORIA,MUJER,260,,,242,LUIS ALEJANDRO,HOMBRE,375
243,ESTHER,MUJER,258,,,243,AXEL MATEO,HOMBRE,374
244,BERENICE,MUJER,256,,,244,EFRAIN,HOMBRE,370
245,MARIA BELEN,MUJER,256,,,245,ANGEL DAMIAN,HOMBRE,369
246,VANESA,MUJER,256,,,246,DIEGO ALEXANDER,HOMBRE,367
247,JAQUELINE,MUJER,255,,,247,IKER SANTIAGO,HOMBRE,366
248,LIA GUADALUPE,MUJER,255,,,248,LUIS MANUEL,HOMBRE,366
249,NAYELI,MUJER,255,,,249,NOAH,HOMBRE,366
250,DIANA SOFIA,MUJER,253,,,250,OSVALDO,HOMBRE,366
251,IVANA,MUJER,253,,,251,EMIR,HOMBRE,362
252,MARIA ISABELLA,MUJER,252,,,252,CRISTOBAL,HOMBRE,360
253,JOHANA,MUJER,251,,,253,LUIS SANTIAGO,HOMBRE,356
254,KEILY,MUJER,251,,,254,MATEO ALEXANDER,HOMBRE,356
255,ANGELA SOFIA,MUJER,250,,,255,IKER DANIEL,HOMBRE,354
256,NATHALIA,MUJER,250,,,256,JUAN JESUS,HOMBRE,354
257,ANA LAURA,MUJER,249,,,257,AXEL DANIEL,HOMBRE,351
258,CITLALI,MUJER,249,,,258,FELIPE,HOMBRE,351
259,LEILANI,MUJER,249,,,259,GIOVANNI,HOMBRE,348
260,CRISTAL,MUJER,248,,,260,IKER MATEO,HOMBRE,348
261,VANIA,MUJER,247,,,261,JAIME,HOMBRE,345
262,FATIMA GUADALUPE,MUJER,246,,,262,ABEL,HOMBRE,344
263,LUZ ELENA,MUJER,246,,,263,DYLAN TADEO,HOMBRE,343
264,MARIA LUISA,MUJER,246,,,264,JOSE FERNANDO,HOMBRE,343
265,WENDY,MUJER,246,,,265,ISAI,HOMBRE,342
266,RUBI,MUJER,245,,,266,GAEL ALEXANDER,HOMBRE,340
267,LESLY,MUJER,243,,,267,ANGEL MANUEL,HOMBRE,339
268,MARIAN,MUJER,243,,,268,ALDO,HOMBRE,335
269,VALENTINA GUADALUPE,MUJER,241,,,269,JUAN ANGEL,HOMBRE,335
270,LIA ISABELLA,MUJER,240,,,270,JAZIEL,HOMBRE,334
271,LESLIE,MUJER,238,,,271,JOSE JUAN,HOMBRE,333
